fold_id,feature,point_type,point_key,value_or_level,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity,v51_full_fit_log_gap
2,power_to_weight_ratio,numeric,q0.10,9.43,0.9820158791826649,1.0717593954399398,0.08744939341616269,0.0413537593015757
2,power_to_weight_ratio,numeric,q0.20,10.36,0.9884861005708059,1.0196172327918012,0.031007992501503392,0.0156702028762767
2,power_to_weight_ratio,numeric,q0.30,10.98,0.9928232477713395,1.0154922453969741,0.022576094764560902,0.0113491630042734
2,power_to_weight_ratio,numeric,q0.40,11.51,0.9965458927222409,1.0047803499387606,0.00822904682785964,0.0044677507266613
2,power_to_weight_ratio,numeric,q0.50,12.0,1.0,1.0,0.0,0.0
2,power_to_weight_ratio,numeric,q0.60,12.64,1.004529524047489,0.9828995438861203,-0.02176765408416159,-0.0042461173968461
2,power_to_weight_ratio,numeric,q0.70,13.33,1.0094359033568336,0.9781717081089742,-0.031461716994091796,0.0114492440952787
2,power_to_weight_ratio,numeric,q0.80,14.3,1.0163738278170127,0.9895128509604805,-0.02678374894389549,0.0072682295543233
2,power_to_weight_ratio,numeric,q0.90,15.65,1.0261091381595535,1.065578762478234,0.03774397693199242,0.019038601322409
2,power_to_weight_ratio,numeric,q0.95,16.72,1.03389147346359,1.0979072609840999,0.060076065144944076,0.0606504698264189
2,policy_type,categorical,CC,CC,1.0,1.0,0.0,0.0
2,policy_type,categorical,COMP_E,COMP_E,1.579427103481791,1.5429875604595897,-0.02334167712327242,0.0086608713547397
2,policy_type,categorical,TPG,TPG,0.9510925567008428,0.9624282463172492,0.011848130634578583,0.0298479786897049
2,policy_type,categorical,COMP_N,COMP_N,3.158840829121888,3.3830576682846467,0.06857480207156355,-0.0182847234689394
2,policy_type,categorical,TP,TP,0.5064037734254342,0.3885201346037313,-0.2649893272876455,-0.1485773197955667
2,business_type,categorical,NB,NB,1.0,1.0,0.0,0.0
2,business_type,categorical,P,P,1.0103190324457878,1.0331909371627606,0.0223858558973326,-0.0257133896886285
2,payment_frequency,categorical,A,A,1.0,1.0,0.0,0.0
2,payment_frequency,categorical,S,S,1.261004708273931,1.2906673748035775,0.023250638668016015,-0.0025968866505779
2,payment_frequency,categorical,Q,Q,1.6422777219016382,1.5755647915822921,-0.041470327260604525,-0.0091075279657528
2,bonus_score,categorical,G,G,1.0,1.0,0.0,0.0
2,bonus_score,categorical,B,B,1.2668140790149895,1.10530721600643,-0.1363818295989794,-0.0393270276967864
2,bonus_score,categorical,N,N,1.3680328700114912,1.1075514157995383,-0.21122219973716866,-0.108858255838972
2,fuel_type,categorical,D,D,1.0,1.0,0.0,0.0
2,fuel_type,categorical,G,G,0.8579158353250277,0.8906755215951361,0.037474187200058545,0.0150662885723012
2,vehicle_brand,categorical,RENAULT,RENAULT,1.0,1.0,0.0,0.0
2,vehicle_brand,categorical,CITROEN,CITROEN,0.9980200301685755,1.007986836260915,0.00993704286182384,0.0224856605975554
2,vehicle_brand,categorical,PEUGEOT,PEUGEOT,1.1629660658375225,1.0786359120081224,-0.07527649659686399,-0.0489338037858565
2,vehicle_brand,categorical,VOLKSWAGEN,VOLKSWAGEN,1.114940956748243,1.0875597712284417,-0.024865005401485576,-0.0132097062671202
2,vehicle_brand,categorical,OPEL,OPEL,1.0711398945959316,1.0653135659620803,-0.005454219513903139,-0.0047802723034745
2,vehicle_brand,categorical,FORD,FORD,1.1578786033560327,1.0863022699530218,-0.06381002455526448,-0.0474808959299611
2,vehicle_brand,categorical,SEAT,SEAT,1.1939270058446938,1.1164302121919858,-0.067111594497444,-0.0437725409777204
2,vehicle_brand,categorical,AUDI,AUDI,1.215188703157901,1.0894451715605726,-0.10923082624298333,-0.0774767640463329
2,vehicle_brand,categorical,MERCEDES,MERCEDES,1.1300661035954707,1.0867696459913918,-0.03906646130010108,-0.0499528528500494
2,vehicle_brand,categorical,BMW,BMW,1.3803927619712937,1.174187558018391,-0.16179160034255996,-0.1231813633549763
2,municipality_type,categorical,I,I,1.0,1.0,0.0,0.0
2,municipality_type,categorical,C,C,0.9540340382217799,0.9877228277002551,0.034702769335037444,0.018748429816367
2,municipality_type,categorical,IS,IS,0.9066412137975894,0.9553738912504097,0.05235597581323416,0.0641895089569835
2,circulation_area,categorical,U,U,1.0,1.0,0.0,0.0
2,circulation_area,categorical,R,R,0.9051200201071395,0.9320513585661987,0.02932036511531516,0.0227355809259511
3,driver_age,numeric,q0.05,30.0,0.9001961953212614,1.0361369373650797,0.14064185864008816,0.14112579605403
3,driver_age,numeric,q0.10,32.0,0.9114005164627796,1.0392873332056678,0.13130805520749508,0.127892353575496
3,driver_age,numeric,q0.20,36.0,0.9342292593157778,1.015990046259638,0.08389696334047339,0.0823855400533132
3,driver_age,numeric,q0.30,39.0,0.9517252921249137,1.0087277323344168,0.058168710368946,0.0593048403771465
3,driver_age,numeric,q0.40,43.0,0.9755640891939975,1.0,0.02473942226207959,0.0301637422792538
3,driver_age,numeric,q0.50,47.0,1.0,1.0,0.0,0.0
3,driver_age,numeric,q0.60,51.0,1.0250479810364805,0.9955606091113561,-0.02918869650802596,-0.0301637422792536
3,driver_age,numeric,q0.70,55.0,1.0507233634269646,0.9978794867244406,-0.05160160927140804,-0.0623002241025713
3,driver_age,numeric,q0.80,59.0,1.0770418623086704,0.9041956221632519,-0.1749278125881924,-0.1964409283337278
3,driver_age,numeric,q0.90,64.0,1.1108689474555276,0.9262297357545226,-0.1817755249529112,-0.2394907189979483
3,driver_age,numeric,q0.95,68.0,1.1386939717854083,0.9242797501355638,-0.20862246015192346,-0.2686599012173566
3,vehicle_age,numeric,q0.05,7.0,1.2794202592945632,1.3878186982791856,0.08132617981158662,0.0220999230384877
3,vehicle_age,numeric,q0.10,10.0,1.221654063792156,1.0665769823037816,-0.13575129197283953,-0.1671366004126769
3,vehicle_age,numeric,q0.20,14.0,1.1486690993401691,1.0478605831553303,-0.09185342155003336,-0.1198847172380538
3,vehicle_age,numeric,q0.30,17.0,1.0968063566033581,1.0182097417039602,-0.07435671482495662,-0.0911116429222344
3,vehicle_age,numeric,q0.40,20.0,1.0472852317317176,1.0086245948195713,-0.03761370694887695,-0.0481604424532383
3,vehicle_age,numeric,q0.50,23.0,1.0,1.0,0.0,0.0
3,vehicle_age,numeric,q0.60,27.0,0.9402572572587093,1.0022661894180909,0.0638653887099597,0.0741113735329791
3,vehicle_age,numeric,q0.70,32.0,0.8705727355027056,0.9918304938674971,0.13040090784391506,0.1529381308574721
3,vehicle_age,numeric,q0.80,36.0,0.8185623325279858,0.9363904974377567,0.13448303909514042,0.1750094821423045
3,vehicle_age,numeric,q0.90,41.0,0.757896887800664,0.9247764819002617,0.19900472265963817,0.2144984674374911
3,vehicle_age,numeric,q0.95,44.0,0.7236776236665331,0.9134335195132148,0.23286457555161472,0.267705894461861
3,age_driving_licence,numeric,q0.05,18.0,1.010769108249318,0.9974589513437206,-0.01325581698037812,-0.0182259157184764
3,age_driving_licence,numeric,q0.10,18.0,1.010769108249318,0.9974589513437206,-0.01325581698037812,-0.0182259157184764
3,age_driving_licence,numeric,q0.20,19.0,1.0071665808247443,0.9908174028660288,-0.01636603998239714,-0.0121506104789841
3,age_driving_licence,numeric,q0.30,19.0,1.0071665808247443,0.9908174028660288,-0.01636603998239714,-0.0121506104789841
3,age_driving_licence,numeric,q0.40,20.0,1.003576893329427,1.0,-0.0035705114601314947,-0.0060753052394922
3,age_driving_licence,numeric,q0.50,21.0,1.0,1.0,0.0,0.0
3,age_driving_licence,numeric,q0.60,22.0,0.9964358552362039,1.0016672156886042,0.005236338887465887,0.006075305239492
3,age_driving_licence,numeric,q0.70,24.0,0.9893456298165165,1.0402610946338193,0.05018326855778082,0.0897793775039284
